,index,stop_id,parent_station,route_id,line_id,is_terminal0,is_terminal1,station_id,is_transfer
0,24,30001,40010,Blue,1,FALSE,FALSE,0,FALSE
1,195,30002,40010,Blue,1,FALSE,FALSE,0,FALSE
2,387,30003,40020,G,4,FALSE,TRUE,1,FALSE
3,503,30004,40020,G,4,FALSE,TRUE,1,FALSE
4,419,30005,40030,G,4,FALSE,FALSE,2,FALSE
5,472,30006,40030,G,4,FALSE,FALSE,2,FALSE
12,115,30012,40060,Blue,1,FALSE,FALSE,3,FALSE
13,34,30013,40060,Blue,1,FALSE,FALSE,3,FALSE
14,27,30014,40070,Blue,1,FALSE,FALSE,4,TRUE
15,122,30015,40070,Blue,1,FALSE,FALSE,4,TRUE
16,854,30016,40080,Red,8,FALSE,FALSE,5,FALSE
17,813,30017,40080,Red,8,FALSE,FALSE,5,FALSE
20,890,30020,40100,Red,8,FALSE,FALSE,6,FALSE
21,777,30021,40100,Red,8,FALSE,FALSE,6,FALSE
24,404,30024,40130,G,4,FALSE,FALSE,7,FALSE
25,487,30025,40130,G,4,FALSE,FALSE,7,FALSE
34,435,30032,40170,G,4,FALSE,FALSE,8,TRUE
36,456,30033,40170,G,4,FALSE,FALSE,8,TRUE
38,16,30034,40180,Blue,1,FALSE,FALSE,9,FALSE
39,201,30035,40180,Blue,1,FALSE,FALSE,9,FALSE
40,798,30036,40190,Red,8,FALSE,FALSE,10,FALSE
41,869,30037,40190,Red,8,FALSE,FALSE,10,FALSE
44,56,30042,40220,Blue,1,FALSE,FALSE,11,FALSE
45,169,30043,40220,Blue,1,FALSE,FALSE,11,FALSE
46,164,30044,40230,Blue,1,FALSE,FALSE,12,FALSE
47,12,30045,40230,Blue,1,FALSE,FALSE,12,FALSE
48,778,30046,40240,Red,8,FALSE,FALSE,13,FALSE
49,889,30047,40240,Red,8,FALSE,FALSE,13,FALSE
50,48,30048,40250,Blue,1,FALSE,FALSE,14,FALSE
51,176,30049,40250,Blue,1,FALSE,FALSE,14,FALSE
52,451,30050,40260,G,4,FALSE,FALSE,15,TRUE
57,440,30051,40260,G,4,FALSE,FALSE,15,TRUE
60,407,30054,40280,G,4,FALSE,FALSE,16,FALSE
61,484,30055,40280,G,4,FALSE,FALSE,16,FALSE
62,388,30056,40290,G,4,TRUE,FALSE,17,FALSE
63,502,30057,40290,G,4,TRUE,FALSE,17,FALSE
64,416,30058,40300,G,4,FALSE,FALSE,18,FALSE
65,475,30059,40300,G,4,FALSE,FALSE,18,FALSE
68,75,30062,40320,Blue,1,FALSE,FALSE,19,FALSE
69,74,30063,40320,Blue,1,FALSE,FALSE,19,FALSE
70,826,30064,40330,Red,8,FALSE,FALSE,20,FALSE
71,841,30065,40330,Red,8,FALSE,FALSE,20,FALSE
72,870,30066,40340,Red,8,FALSE,FALSE,21,FALSE
73,797,30067,40340,Red,8,FALSE,FALSE,21,FALSE
74,3,30068,40350,Blue,1,FALSE,FALSE,22,FALSE
75,146,30069,40350,Blue,1,FALSE,FALSE,22,FALSE
78,43,30072,40370,Blue,1,FALSE,FALSE,23,TRUE
79,106,30073,40370,Blue,1,FALSE,FALSE,23,TRUE
86,98,30374,40380,Blue,1,FALSE,FALSE,24,TRUE
87,51,30375,40380,Blue,1,FALSE,FALSE,24,TRUE
80,447,30074,40380,G,4,FALSE,FALSE,25,TRUE
85,444,30075,40380,G,4,FALSE,FALSE,25,TRUE
88,0,30076,40390,Blue,1,TRUE,FALSE,26,FALSE
89,213,30077,40390,Blue,1,TRUE,FALSE,26,FALSE
94,11,30084,40430,Blue,1,FALSE,FALSE,27,FALSE
95,138,30085,40430,Blue,1,FALSE,FALSE,27,FALSE
98,770,30088,40450,Red,8,TRUE,FALSE,28,FALSE
99,897,30089,40450,Red,8,TRUE,FALSE,28,FALSE
104,5,30092,40470,Blue,1,FALSE,FALSE,29,FALSE
105,154,30093,40470,Blue,1,FALSE,FALSE,29,FALSE
106,476,30009,40480,G,4,FALSE,FALSE,30,FALSE
107,415,30094,40480,G,4,FALSE,FALSE,30,FALSE
108,59,30095,40490,Blue,1,FALSE,FALSE,31,FALSE
109,90,30096,40490,Blue,1,FALSE,FALSE,31,FALSE
110,400,30099,40510,G,4,FALSE,FALSE,32,FALSE
111,491,30100,40510,G,4,FALSE,FALSE,32,FALSE
118,858,30105,40540,Red,8,FALSE,FALSE,33,FALSE
119,809,30106,40540,Red,8,FALSE,FALSE,33,FALSE
122,131,30107,40550,Blue,1,FALSE,FALSE,34,FALSE
123,18,30108,40550,Blue,1,FALSE,FALSE,34,FALSE
124,814,30109,40560,Red,8,FALSE,FALSE,35,TRUE
125,853,30110,40560,Red,8,FALSE,FALSE,35,TRUE
126,99,30111,40570,Blue,1,FALSE,FALSE,36,FALSE
127,50,30112,40570,Blue,1,FALSE,FALSE,36,FALSE
130,83,30115,40590,Blue,1,FALSE,FALSE,37,FALSE
131,66,30116,40590,Blue,1,FALSE,FALSE,37,FALSE
134,399,30119,40610,G,4,FALSE,FALSE,38,FALSE
135,492,30120,40610,G,4,FALSE,FALSE,38,FALSE
136,834,30121,40630,Red,8,FALSE,FALSE,39,FALSE
137,833,30122,40630,Red,8,FALSE,FALSE,39,FALSE
138,838,30125,40650,Red,8,FALSE,FALSE,40,FALSE
139,829,30126,40650,Red,8,FALSE,FALSE,40,FALSE
144,91,30129,40670,Blue,1,FALSE,FALSE,41,FALSE
145,58,30130,40670,Blue,1,FALSE,FALSE,41,FALSE
147,432,30131,40680,G,4,FALSE,FALSE,42,TRUE
148,459,30132,40680,G,4,FALSE,FALSE,42,TRUE
154,411,30135,40700,G,4,FALSE,FALSE,43,FALSE
155,480,30136,40700,G,4,FALSE,FALSE,43,FALSE
160,501,30139,40720,G,4,TRUE,FALSE,44,FALSE
161,389,30140,40720,G,4,TRUE,FALSE,44,FALSE
168,156,30145,40750,Blue,1,FALSE,FALSE,45,FALSE
169,20,30146,40750,Blue,1,FALSE,FALSE,45,FALSE
170,882,30147,40760,Red,8,FALSE,FALSE,46,FALSE
171,785,30148,40760,Red,8,FALSE,FALSE,46,FALSE
172,862,30149,40770,Red,8,FALSE,FALSE,47,FALSE
173,805,30150,40770,Red,8,FALSE,FALSE,47,FALSE
176,35,30153,40790,Blue,1,FALSE,FALSE,48,FALSE
177,114,30154,40790,Blue,1,FALSE,FALSE,48,FALSE
