route_id,Direction_ID,From_ID,Arr_From,To_ID,Arr_To,Car_Num,Line,Trip_No,Dep_From,Dep_To
8,0,5756,25200,5757.0,25244.0,70,8,1,25210,25254.0
8,0,5757,25244,14901.0,25346.0,70,8,1,25254,25356.0
8,0,14901,25346,5759.0,25397.0,70,8,1,25356,25407.0
8,0,5759,25397,5760.0,25473.0,70,8,1,25407,25483.0
8,0,5760,25473,5761.0,25537.0,70,8,1,25483,25547.0
8,0,5761,25537,14906.0,25620.0,70,8,1,25547,25630.0
8,0,14906,25620,14908.0,25672.0,70,8,1,25630,25682.0
8,0,14908,25672,5764.0,25710.0,70,8,1,25682,25720.0
8,0,5764,25710,5765.0,25758.0,70,8,1,25720,25768.0
8,0,5765,25758,14907.0,25811.0,70,8,1,25768,25821.0
8,0,14907,25811,5767.0,25849.0,70,8,1,25821,25859.0
8,0,5767,25849,5768.0,25916.0,70,8,1,25859,25926.0
8,0,5768,25916,5769.0,25988.0,70,8,1,25926,25998.0
8,0,5769,25988,18436.0,26070.0,70,8,1,25998,26080.0
8,0,18436,26070,1349.0,26112.0,70,8,1,26080,26122.0
8,0,1349,26112,5771.0,26164.0,70,8,1,26122,26174.0
8,0,5771,26164,5772.0,26224.0,70,8,1,26174,26234.0
8,0,5772,26224,18468.0,26292.0,70,8,1,26234,26302.0
8,0,18468,26292,5774.0,26352.0,70,8,1,26302,26362.0
8,0,5774,26352,5775.0,26408.0,70,8,1,26362,26418.0
8,0,5775,26408,5776.0,26460.0,70,8,1,26418,26470.0
8,0,5776,26460,15407.0,26494.0,70,8,1,26470,26504.0
8,0,15407,26494,5779.0,26541.0,70,8,1,26504,26551.0
8,0,5779,26541,5780.0,26601.0,70,8,1,26551,26611.0
8,0,5780,26601,15273.0,26730.0,70,8,1,26611,26740.0
8,0,15273,26730,16125.0,26790.0,70,8,1,26740,26800.0
8,0,16125,26790,15347.0,26881.0,70,8,1,26800,26891.0
8,0,15347,26881,5788.0,27000.0,70,8,1,26891,27010.0
8,0,5788,27000,5790.0,27120.0,70,8,1,27010,27130.0
8,0,5790,27120,5792.0,27301.0,70,8,1,27130,27311.0
8,0,5792,27301,15351.0,27415.0,70,8,1,27311,27425.0
8,0,15351,27415,15008.0,27491.0,70,8,1,27425,27501.0
8,0,15008,27491,15352.0,27538.0,70,8,1,27501,27548.0
8,0,15352,27538,5799.0,27592.0,70,8,1,27548,27602.0
8,0,5799,27592,205.0,27690.0,70,8,1,27602,27700.0
8,0,205,27690,4638.0,27751.0,70,8,1,27700,27761.0
8,0,4638,27751,4639.0,27781.0,70,8,1,27761,27791.0
8,0,4639,27781,4640.0,27829.0,70,8,1,27791,27839.0
8,0,4640,27829,17366.0,27880.0,70,8,1,27839,27890.0
8,0,17366,27880,5802.0,27921.0,70,8,1,27890,27931.0
