origin,stop_name,destination,travel_time,path
30172_Blue_0,O'Hare,30374_Blue_0,2580,"['30172_Blue_0', '30160_Blue_0', '30045_Blue_0', '30146_Blue_0', '30248_Blue_0', '30260_Blue_0', '30108_Blue_0', '30240_Blue_0', '30013_Blue_0', '30198_Blue_0', '30112_Blue_0', '30130_Blue_0', '30116_Blue_0', '30063_Blue_0', '30272_Blue_0', '30096_Blue_0', '30374_Blue_0']"
30160_Blue_0,Rosemont,30374_Blue_0,2250,"['30160_Blue_0', '30045_Blue_0', '30146_Blue_0', '30248_Blue_0', '30260_Blue_0', '30108_Blue_0', '30240_Blue_0', '30013_Blue_0', '30198_Blue_0', '30112_Blue_0', '30130_Blue_0', '30116_Blue_0', '30063_Blue_0', '30272_Blue_0', '30096_Blue_0', '30374_Blue_0']"
30045_Blue_0,Cumberland,30374_Blue_0,2130,"['30045_Blue_0', '30146_Blue_0', '30248_Blue_0', '30260_Blue_0', '30108_Blue_0', '30240_Blue_0', '30013_Blue_0', '30198_Blue_0', '30112_Blue_0', '30130_Blue_0', '30116_Blue_0', '30063_Blue_0', '30272_Blue_0', '30096_Blue_0', '30374_Blue_0']"
30045_Blue_0,Cumberland,30374_Blue_0,24158.43347,"['30045_Blue_0', '14143_81W_1', '8602_81W_1', '8600_81W_1', '8599_81W_1', '8597_81W_1', '8595_81W_1', '8593_81W_1', '8591_81W_1', '8589_81W_1', '8587_81W_1', '8585_81W_1', '8583_81W_1', '8581_81W_1', '8579_81W_1', '8577_81W_1', '8575_81W_1', '9712_81W_1', '9713_81W_1', '9714_81W_1', '9715_81W_1', '9716_81W_1', '9717_81W_1', '9718_81W_1', '9719_81W_1', '9720_81W_1', '9721_81W_1', '9722_81W_1', '9723_81W_1', '9724_81W_1', '9725_81W_1', '9726_81W_1', '9727_81W_1', '9728_81W_1', '9729_81W_1', '9730_81W_1', '9551_81W_1', '9552_81W_1', '9553_81W_1', '9554_81W_1', '9555_81W_1', '9675_81W_1', '9676_81W_1', '9677_81W_1', '9678_81W_1', '18109_81W_1', '18110_81W_1', '17064_81W_1', '17175_56_0', '5435_56_0', '5436_56_0', '5437_56_0', '5438_56_0', '14617_56_0', '5440_56_0', '15198_56_0', '5442_56_0', '5443_56_0', '5444_56_0', '5445_56_0', '5446_56_0', '5447_56_0', '5448_56_0', '5450_56_0', '5452_56_0', '5454_56_0', '15213_56_0', '18424_56_0', '5458_56_0', '5459_56_0', '5460_56_0', '15215_56_0', '5462_56_0', '5463_56_0', '17413_56_0', '5465_56_0', '5466_56_0', '5467_56_0', '5468_56_0', '15041_56_0', '17013_56_0', '17014_56_0', '5474_56_0', '5475_56_0', '5476_56_0', '17917_56_0', '5478_56_0', '15233_56_0', '18358_56_0', '5481_56_0', '17015_56_0', '15846_56_0', '5487_56_0', '5489_56_0', '5490_56_0', '5491_56_0', '18114_56_0', '5494_56_0', '5496_56_0', '17834_56_0', '5500_56_0', '5502_56_0', '5503_56_0', '17771_56_0', '5505_56_0', '17772_56_0', '442_56_0', '443_56_0', '445_56_0', '446_56_0', '30374_Blue_0']"
30146_Blue_0,Harlem-O'Hare,30374_Blue_0,1920,"['30146_Blue_0', '30248_Blue_0', '30260_Blue_0', '30108_Blue_0', '30240_Blue_0', '30013_Blue_0', '30198_Blue_0', '30112_Blue_0', '30130_Blue_0', '30116_Blue_0', '30063_Blue_0', '30272_Blue_0', '30096_Blue_0', '30374_Blue_0']"
30146_Blue_0,Harlem-O'Hare,30374_Blue_0,22240.61672,"['30146_Blue_0', '14145_90_0', '8535_90_0', '8536_90_0', '8537_90_0', '8538_90_0', '8539_90_0', '11764_90_0', '11765_90_0', '11766_90_0', '9740_90_0', '11767_90_0', '11768_90_0', '11769_90_0', '11770_90_0', '11771_90_0', '11772_90_0', '11773_90_0', '11774_90_0', '11775_90_0', '11776_90_0', '11777_90_0', '11778_90_0', '11779_90_0', '11780_90_0', '11781_90_0', '11782_90_0', '11783_90_0', '11784_90_0', '11785_90_0', '11786_90_0', '11787_90_0', '11788_90_0', '11789_90_0', '18044_90_0', '15800_90_0', '15719_90_0', '15720_90_0', '15721_90_0', '17402_90_0', '15723_90_0', '17401_90_0', '15725_90_0', '15726_90_0', '15727_90_0', '15728_90_0', '15729_90_0', '15730_90_0', '15731_90_0', '15732_90_0', '18470_90_0', '15735_90_0', '15736_90_0', '15737_90_0', '14226_90_0', '30003_G_0', '30263_G_0', '30119_G_0', '30243_G_0', '30054_G_0', '30135_G_0', '30094_G_0', '30005_G_0', '30291_G_0', '30207_G_0', '30265_G_0', '30032_G_0', '30295_G_0', '30221_G_0', '30074_G_0', '30374_Blue_0']"
30146_Blue_0,Harlem-O'Hare,30374_Blue_0,23294.86381,"['30146_Blue_0', '9839_88_1', '9860_88_1', '9861_88_1', '15036_88_1', '9864_88_1', '9865_88_1', '9866_88_1', '9868_88_1', '9869_88_1', '15037_88_1', '9872_88_1', '9873_88_1', '9874_88_1', '14640_88_1', '9876_88_1', '15188_88_1', '9878_88_1', '9879_88_1', '9880_88_1', '9881_88_1', '17038_88_1', '14109_88_1', '14101_56_0', '3725_56_0', '17175_56_0', '5435_56_0', '5436_56_0', '5437_56_0', '5438_56_0', '14617_56_0', '5440_56_0', '15198_56_0', '5442_56_0', '5443_56_0', '5444_56_0', '5445_56_0', '5446_56_0', '5447_56_0', '5448_56_0', '5450_56_0', '5452_56_0', '5454_56_0', '15213_56_0', '18424_56_0', '5458_56_0', '5459_56_0', '5460_56_0', '15215_56_0', '5462_56_0', '5463_56_0', '17413_56_0', '5465_56_0', '5466_56_0', '5467_56_0', '5468_56_0', '15041_56_0', '17013_56_0', '17014_56_0', '5474_56_0', '5475_56_0', '5476_56_0', '17917_56_0', '5478_56_0', '15233_56_0', '18358_56_0', '5481_56_0', '17015_56_0', '15846_56_0', '5487_56_0', '5489_56_0', '5490_56_0', '5491_56_0', '18114_56_0', '5494_56_0', '5496_56_0', '17834_56_0', '5500_56_0', '5502_56_0', '5503_56_0', '17771_56_0', '5505_56_0', '17772_56_0', '442_56_0', '443_56_0', '445_56_0', '446_56_0', '30374_Blue_0']"
30248_Blue_0,Jefferson Park,30374_Blue_0,1620,"['30248_Blue_0', '30260_Blue_0', '30108_Blue_0', '30240_Blue_0', '30013_Blue_0', '30198_Blue_0', '30112_Blue_0', '30130_Blue_0', '30116_Blue_0', '30063_Blue_0', '30272_Blue_0', '30096_Blue_0', '30374_Blue_0']"
30248_Blue_0,Jefferson Park,30374_Blue_0,16498.89135,"['30248_Blue_0', '14101_56_0', '3725_56_0', '17175_56_0', '5435_56_0', '5436_56_0', '5437_56_0', '5438_56_0', '14617_56_0', '5440_56_0', '15198_56_0', '5442_56_0', '5443_56_0', '5444_56_0', '5445_56_0', '5446_56_0', '5447_56_0', '5448_56_0', '5450_56_0', '5452_56_0', '5454_56_0', '15213_56_0', '18424_56_0', '5458_56_0', '5459_56_0', '5460_56_0', '15215_56_0', '5462_56_0', '5463_56_0', '17413_56_0', '5465_56_0', '5466_56_0', '5467_56_0', '5468_56_0', '15041_56_0', '17013_56_0', '17014_56_0', '5474_56_0', '5475_56_0', '5476_56_0', '17917_56_0', '5478_56_0', '15233_56_0', '18358_56_0', '5481_56_0', '17015_56_0', '15846_56_0', '5487_56_0', '5489_56_0', '5490_56_0', '5491_56_0', '18114_56_0', '5494_56_0', '5496_56_0', '17834_56_0', '5500_56_0', '5502_56_0', '5503_56_0', '17771_56_0', '5505_56_0', '17772_56_0', '442_56_0', '443_56_0', '445_56_0', '446_56_0', '30374_Blue_0']"
30248_Blue_0,Jefferson Park,30374_Blue_0,21688.88995,"['30248_Blue_0', '14105_85_0', '9798_85_0', '9799_85_0', '11520_85_0', '18388_85_0', '11522_85_0', '17993_85_0', '11524_85_0', '11525_85_0', '11526_85_0', '11527_85_0', '11528_85_0', '11529_85_0', '11530_85_0', '11531_85_0', '11532_85_0', '11533_85_0', '11534_85_0', '11535_85_0', '11536_85_0', '11537_85_0', '17020_85_0', '11539_85_0', '15229_85_0', '11541_85_0', '11542_85_0', '11543_85_0', '15481_85_0', '11545_85_0', '11546_85_0', '11547_85_0', '11548_85_0', '15465_85_0', '11550_85_0', '16033_85_0', '11552_85_0', '11553_85_0', '11554_85_0', '11555_85_0', '11556_85_0', '11557_85_0', '18091_85_0', '11559_85_0', '11560_85_0', '11561_85_0', '11562_85_0', '11563_85_0', '11564_85_0', '11565_85_0', '11566_85_0', '30054_G_0', '30135_G_0', '30094_G_0', '30005_G_0', '30291_G_0', '30207_G_0', '30265_G_0', '30032_G_0', '30295_G_0', '30221_G_0', '30074_G_0', '30374_Blue_0']"
30248_Blue_0,Jefferson Park,30374_Blue_0,21916.61916,"['30248_Blue_0', '14102_81_1', '3725_81_1', '3726_81_1', '3728_81_1', '3729_81_1', '3730_81_1', '3731_81_1', '3732_81_1', '3733_81_1', '3734_81_1', '17475_81_1', '17476_81_1', '3737_81_1', '3738_81_1', '3739_81_1', '18106_81_1', '3741_81_1', '3742_81_1', '3743_81_1', '17132_81_1', '3745_81_1', '3746_81_1', '30250_Brn_0', '30226_Brn_0', '30168_Brn_0', '30196_Brn_0', '30284_Brn_0', '30019_Brn_0', '30288_Brn_0', '30282_Brn_0', '30278_Brn_0', '30254_Brn_0', '30071_Brn_0', '30258_Brn_0', '30232_Brn_0', '30104_Brn_0', '30236_Brn_0', '30128_Brn_0', '30156_Brn_0', '30138_Brn_0', '30091_Brn_0', '30374_Blue_0']"
