from_station_id,to_station_id,time
0.0,9.0,90.0
0.0,57.0,180.0
1.0,81.0,105.0
2.0,30.0,210.0
2.0,93.0,90.0
3.0,61.0,135.0
3.0,73.0,90.0
4.0,35.0,30.0
4.0,48.0,60.0
4.0,80.0,90.0
4.0,184.0,30.0
4.0,185.0,30.0
4.0,186.0,30.0
4.0,187.0,30.0
5.0,33.0,210.0
5.0,87.0,165.0
6.0,69.0,120.0
6.0,77.0,90.0
7.0,32.0,120.0
7.0,63.0,90.0
8.0,82.0,180.0
8.0,91.0,165.0
8.0,114.0,30.0
8.0,115.0,30.0
9.0,0.0,150.0
9.0,58.0,120.0
10.0,60.0,195.0
10.0,72.0,180.0
11.0,14.0,210.0
11.0,49.0,150.0
12.0,45.0,210.0
12.0,50.0,150.0
13.0,59.0,150.0
13.0,88.0,120.0
14.0,11.0,240.0
14.0,55.0,150.0
15.0,25.0,45.0
15.0,92.0,30.0
15.0,95.0,90.0
15.0,118.0,30.0
15.0,119.0,30.0
15.0,120.0,30.0
15.0,121.0,30.0
16.0,43.0,105.0
16.0,74.0,90.0
17.0,56.0,210.0
18.0,65.0,180.0
18.0,75.0,120.0
19.0,37.0,135.0
19.0,86.0,135.0
20.0,89.0,75.0
20.0,92.0,75.0
21.0,70.0,75.0
21.0,83.0,90.0
22.0,27.0,90.0
22.0,29.0,120.0
23.0,24.0,105.0
23.0,48.0,60.0
23.0,92.0,30.0
24.0,23.0,90.0
24.0,25.0,30.0
24.0,31.0,165.0
24.0,128.0,30.0
24.0,129.0,30.0
24.0,130.0,30.0
24.0,131.0,30.0
25.0,15.0,60.0
25.0,24.0,30.0
25.0,67.0,195.0
25.0,128.0,30.0
25.0,129.0,30.0
25.0,130.0,30.0
25.0,131.0,30.0
26.0,58.0,120.0
27.0,22.0,120.0
27.0,80.0,105.0
28.0,88.0,120.0
29.0,22.0,90.0
29.0,49.0,120.0
30.0,2.0,105.0
30.0,43.0,60.0
31.0,24.0,165.0
31.0,86.0,90.0
32.0,7.0,90.0
32.0,56.0,390.0
32.0,66.0,240.0
33.0,5.0,210.0
33.0,47.0,90.0
33.0,148.0,30.0
33.0,149.0,30.0
34.0,73.0,105.0
34.0,79.0,120.0
35.0,4.0,30.0
35.0,64.0,45.0
35.0,90.0,60.0
35.0,184.0,30.0
35.0,185.0,30.0
35.0,186.0,30.0
35.0,187.0,30.0
36.0,41.0,135.0
36.0,61.0,135.0
37.0,19.0,120.0
37.0,41.0,120.0
38.0,74.0,90.0
38.0,81.0,60.0
39.0,40.0,150.0
39.0,89.0,135.0
40.0,39.0,165.0
40.0,71.0,165.0
41.0,36.0,135.0
41.0,37.0,135.0
42.0,84.0,180.0
42.0,95.0,75.0
42.0,158.0,30.0
42.0,159.0,30.0
42.0,160.0,30.0
42.0,161.0,30.0
43.0,16.0,90.0
43.0,30.0,105.0
44.0,66.0,150.0
45.0,12.0,180.0
45.0,76.0,285.0
46.0,51.0,60.0
46.0,77.0,120.0
47.0,33.0,75.0
47.0,70.0,60.0
48.0,4.0,60.0
48.0,23.0,45.0
49.0,11.0,150.0
49.0,29.0,150.0
50.0,12.0,120.0
50.0,52.0,300.0
51.0,46.0,90.0
51.0,83.0,90.0
52.0,50.0,330.0
53.0,69.0,90.0
53.0,190.0,30.0
53.0,191.0,30.0
53.0,192.0,30.0
53.0,193.0,30.0
54.0,59.0,120.0
54.0,68.0,120.0
55.0,14.0,150.0
55.0,57.0,150.0
56.0,17.0,120.0
56.0,32.0,390.0
57.0,0.0,210.0
57.0,55.0,150.0
58.0,9.0,90.0
58.0,26.0,120.0
59.0,13.0,180.0
59.0,54.0,120.0
60.0,10.0,180.0
60.0,85.0,180.0
61.0,3.0,120.0
61.0,36.0,135.0
62.0,82.0,75.0
62.0,93.0,90.0
63.0,7.0,105.0
63.0,75.0,90.0
64.0,35.0,75.0
64.0,92.0,165.0
65.0,18.0,180.0
65.0,94.0,210.0
66.0,32.0,210.0
66.0,44.0,90.0
67.0,25.0,150.0
67.0,91.0,90.0
67.0,212.0,30.0
67.0,213.0,30.0
68.0,54.0,120.0
68.0,72.0,150.0
69.0,6.0,90.0
69.0,53.0,60.0
70.0,21.0,90.0
70.0,47.0,75.0
71.0,40.0,165.0
71.0,78.0,225.0
71.0,220.0,30.0
71.0,221.0,30.0
71.0,222.0,30.0
71.0,223.0,30.0
72.0,10.0,150.0
72.0,68.0,120.0
73.0,3.0,105.0
73.0,34.0,120.0
74.0,16.0,90.0
74.0,38.0,60.0
75.0,18.0,90.0
75.0,63.0,90.0
76.0,45.0,270.0
76.0,79.0,120.0
77.0,6.0,120.0
77.0,46.0,120.0
78.0,71.0,165.0
78.0,87.0,120.0
78.0,230.0,30.0
78.0,231.0,30.0
78.0,232.0,30.0
78.0,233.0,30.0
79.0,34.0,135.0
79.0,76.0,150.0
80.0,4.0,105.0
80.0,27.0,60.0
81.0,1.0,90.0
81.0,38.0,90.0
82.0,8.0,210.0
82.0,62.0,90.0
83.0,21.0,60.0
83.0,51.0,60.0
84.0,42.0,195.0
84.0,85.0,30.0
84.0,94.0,180.0
84.0,234.0,30.0
84.0,235.0,30.0
85.0,60.0,150.0
85.0,84.0,30.0
85.0,90.0,45.0
85.0,234.0,30.0
85.0,235.0,30.0
86.0,19.0,150.0
86.0,31.0,105.0
87.0,5.0,135.0
87.0,78.0,150.0
88.0,13.0,150.0
88.0,28.0,150.0
89.0,20.0,75.0
89.0,39.0,135.0
90.0,35.0,45.0
90.0,85.0,75.0
91.0,8.0,90.0
91.0,67.0,120.0
92.0,15.0,30.0
92.0,20.0,90.0
92.0,23.0,30.0
92.0,64.0,105.0
92.0,118.0,30.0
92.0,119.0,30.0
92.0,120.0,30.0
92.0,121.0,30.0
93.0,2.0,90.0
93.0,62.0,120.0
94.0,65.0,240.0
94.0,84.0,210.0
95.0,15.0,135.0
95.0,42.0,75.0
96.0,168.0,105.0
97.0,169.0,105.0
98.0,170.0,105.0
99.0,110.0,90.0
100.0,101.0,30.0
100.0,142.0,90.0
101.0,100.0,30.0
101.0,163.0,90.0
102.0,103.0,30.0
102.0,240.0,60.0
103.0,102.0,30.0
103.0,243.0,90.0
104.0,105.0,30.0
104.0,206.0,120.0
105.0,104.0,30.0
105.0,125.0,255.0
106.0,107.0,30.0
107.0,106.0,30.0
107.0,247.0,120.0
108.0,109.0,30.0
108.0,174.0,75.0
109.0,108.0,30.0
109.0,153.0,90.0
110.0,184.0,45.0
111.0,96.0,105.0
112.0,97.0,90.0
113.0,98.0,105.0
114.0,8.0,30.0
114.0,115.0,30.0
114.0,244.0,150.0
115.0,8.0,30.0
115.0,114.0,30.0
115.0,201.0,180.0
116.0,117.0,30.0
116.0,180.0,150.0
117.0,116.0,30.0
117.0,173.0,60.0
118.0,15.0,30.0
118.0,92.0,30.0
118.0,119.0,30.0
118.0,120.0,30.0
118.0,121.0,30.0
118.0,249.0,105.0
119.0,15.0,30.0
119.0,92.0,30.0
119.0,118.0,30.0
119.0,120.0,30.0
119.0,121.0,30.0
119.0,250.0,90.0
120.0,15.0,30.0
120.0,92.0,30.0
120.0,118.0,30.0
120.0,119.0,30.0
120.0,121.0,30.0
120.0,251.0,105.0
121.0,15.0,30.0
121.0,92.0,30.0
121.0,118.0,30.0
121.0,119.0,30.0
121.0,120.0,30.0
121.0,131.0,45.0
122.0,123.0,30.0
122.0,162.0,90.0
123.0,122.0,30.0
123.0,183.0,90.0
124.0,104.0,240.0
124.0,125.0,30.0
125.0,124.0,30.0
125.0,211.0,120.0
126.0,127.0,30.0
126.0,228.0,120.0
127.0,126.0,30.0
127.0,232.0,150.0
128.0,24.0,30.0
128.0,25.0,30.0
128.0,118.0,60.0
128.0,129.0,30.0
128.0,130.0,30.0
128.0,131.0,30.0
129.0,24.0,30.0
129.0,25.0,30.0
129.0,119.0,60.0
129.0,128.0,30.0
