from_station_id,to_station_id,time
0.0,0.0,-1
1.0,1.0,-1
2.0,2.0,-1
3.0,3.0,-1
4.0,35.0,30
4.0,184.0,30
4.0,185.0,30
4.0,186.0,30
4.0,187.0,30
5.0,5.0,-1
6.0,6.0,-1
7.0,7.0,-1
8.0,114.0,30
8.0,115.0,30
9.0,9.0,-1
10.0,10.0,-1
11.0,11.0,-1
12.0,12.0,-1
13.0,13.0,-1
14.0,14.0,-1
15.0,92.0,30
15.0,118.0,30
15.0,119.0,30
15.0,120.0,30
15.0,121.0,30
16.0,16.0,-1
17.0,17.0,-1
18.0,18.0,-1
19.0,19.0,-1
20.0,20.0,-1
21.0,21.0,-1
22.0,22.0,-1
23.0,92.0,30
24.0,25.0,30
24.0,128.0,30
24.0,129.0,30
24.0,130.0,30
24.0,131.0,30
25.0,24.0,30
25.0,128.0,30
25.0,129.0,30
25.0,130.0,30
25.0,131.0,30
26.0,26.0,-1
27.0,27.0,-1
28.0,28.0,-1
29.0,29.0,-1
30.0,30.0,-1
31.0,31.0,-1
32.0,32.0,-1
33.0,148.0,30
33.0,149.0,30
34.0,34.0,-1
35.0,4.0,30
35.0,184.0,30
35.0,185.0,30
35.0,186.0,30
35.0,187.0,30
36.0,36.0,-1
37.0,37.0,-1
38.0,38.0,-1
39.0,39.0,-1
40.0,40.0,-1
41.0,41.0,-1
42.0,158.0,30
42.0,159.0,30
42.0,160.0,30
42.0,161.0,30
43.0,43.0,-1
44.0,44.0,-1
45.0,45.0,-1
46.0,46.0,-1
47.0,47.0,-1
48.0,48.0,-1
49.0,49.0,-1
50.0,50.0,-1
51.0,51.0,-1
52.0,52.0,-1
53.0,190.0,30
53.0,191.0,30
53.0,192.0,30
53.0,193.0,30
54.0,54.0,-1
55.0,55.0,-1
56.0,56.0,-1
57.0,57.0,-1
58.0,58.0,-1
59.0,59.0,-1
60.0,60.0,-1
61.0,61.0,-1
62.0,62.0,-1
63.0,63.0,-1
64.0,64.0,-1
65.0,65.0,-1
66.0,66.0,-1
67.0,212.0,30
67.0,213.0,30
68.0,68.0,-1
69.0,69.0,-1
70.0,70.0,-1
71.0,220.0,30
71.0,221.0,30
71.0,222.0,30
71.0,223.0,30
72.0,72.0,-1
73.0,73.0,-1
74.0,74.0,-1
75.0,75.0,-1
76.0,76.0,-1
77.0,77.0,-1
78.0,230.0,30
78.0,231.0,30
78.0,232.0,30
78.0,233.0,30
79.0,79.0,-1
80.0,80.0,-1
81.0,81.0,-1
82.0,82.0,-1
83.0,83.0,-1
84.0,85.0,30
84.0,234.0,30
84.0,235.0,30
85.0,84.0,30
85.0,234.0,30
85.0,235.0,30
86.0,86.0,-1
87.0,87.0,-1
88.0,88.0,-1
89.0,89.0,-1
90.0,90.0,-1
91.0,91.0,-1
92.0,15.0,30
92.0,23.0,30
92.0,118.0,30
92.0,119.0,30
92.0,120.0,30
92.0,121.0,30
93.0,93.0,-1
94.0,94.0,-1
95.0,95.0,-1
96.0,96.0,-1
97.0,97.0,-1
98.0,98.0,-1
99.0,99.0,-1
100.0,101.0,30
101.0,100.0,30
102.0,103.0,30
103.0,102.0,30
104.0,105.0,30
105.0,104.0,30
106.0,107.0,30
107.0,106.0,30
108.0,109.0,30
109.0,108.0,30
110.0,110.0,-1
111.0,111.0,-1
112.0,112.0,-1
113.0,113.0,-1
114.0,8.0,30
114.0,115.0,30
115.0,8.0,30
115.0,114.0,30
116.0,117.0,30
117.0,116.0,30
118.0,15.0,30
118.0,92.0,30
118.0,119.0,30
118.0,120.0,30
118.0,121.0,30
119.0,15.0,30
119.0,92.0,30
119.0,118.0,30
119.0,120.0,30
119.0,121.0,30
120.0,15.0,30
120.0,92.0,30
120.0,118.0,30
120.0,119.0,30
120.0,121.0,30
121.0,15.0,30
